difficulty	time_ms	duration_ms	lane	confidence	review_priority	beat_alignment	quantization_shift_ms	source	evidence	reason
expert	173099	0	2	0.416972	0.564953	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	164437	0	2	0.47566	0.5638	0.00101269	-2.91038e-11	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	12968	0	2	0.444203	0.56332	0.178389	-2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	81552	0	1	0.500242	0.561288	0.00261811	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	46293.3	0	1	0.467074	0.56067	0.00101269	-7.27596e-12	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	63530.7	0	1	0.375345	0.560435	0.281829	1.38243e-10	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	169381	0	2	0.526621	0.559651	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	171856	0	1	0.529887	0.558104	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	129277	0	1	0.37775	0.555465	0.414998	-2.66667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	168149	0	1	0.437656	0.554421	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	95776	0	2	0.495374	0.551466	0.00101269	0	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	166603	0	0	0.501338	0.550774	0.00630873	0	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	139928	0	1	0.467344	0.550537	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	44437.3	0	2	0.489914	0.549464	0.00101269	1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	60064	0	2	0.385168	0.549276	0.569573	10.6667	high	DSP	low confidence, single-source evidence
expert	62538.7	0	2	0.387046	0.548331	0.569573	10.6667	high	DSP	low confidence, single-source evidence
expert	65400	0	2	0.408941	0.546944	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	144952	0	1	0.479239	0.544878	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	15674.7	0	1	0.562945	0.544511	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	87114.7	0	1	0.497252	0.543761	0.00101269	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	170315	0	1	0.519765	0.543739	0.000365098	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	64162.7	0	3	0.423221	0.539759	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	153301	0	1	0.467146	0.538737	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	60682.7	0	2	0.419372	0.531014	0.569573	10.6667	high	DSP	low confidence, single-source evidence
expert	163200	0	1	0.496081	0.526544	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	96394.7	0	1	0.550534	0.524921	0.00101269	-1.45519e-11	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	59832	0	2	0.45806	0.522229	0.569573	13.3333	high	DSP	low confidence, single-source evidence
expert	142784	0	1	0.56624	0.520757	0.00630873	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	139160	0	1	0.53465	0.518581	0.178389	2.66667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	53258.7	0	2	0.339128	0.516999	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	144021	0	2	0.579491	0.515305	0.00101269	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	50784	0	0	0.344037	0.514585	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	93781.3	0	1	0.366344	0.506374	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	166752	0	1	0.361506	0.506086	0.728612	0	mid	DSP	low confidence, single-source evidence
expert	153920	0	2	0.539818	0.503813	0.178389	0	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	52640	0	1	0.374241	0.502105	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	58208	0	2	0.367943	0.501577	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	56970.7	0	0	0.368375	0.501363	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	62197.3	0	3	0.355191	0.501163	0.728612	0	high	DSP	low confidence, single-source evidence
expert	59136	0	0	0.374647	0.500741	0.965432	10.6667	mid	DSP	low confidence, single-source evidence
